,processed_review,RegistrationIssues,Notification Issues,Slack Desktop/Mobile App Issues,Interface Issues
73,I use this only for staying in contact with Amazon management This app keeps logging me out on my phone and I have to reconnect at work on a work computer VERY INCONVENIENT when trying to message work before coming in,0.01553619,0.015178858,0.015579871,0.953705081
74,App worked fine for months now cant view messages or reply or post Have to completely wipe cashe and data and re sign in to work for only a few hours then it screws up again,0.019121289,0.018676333,0.941928434,0.020273944
75,Hangs most of the time and takes a lot of time for loading Calling is a disaster stopped using slack for calling lately stated to call using a different medium and use slack for scree share Screen sharing is good,0.011381303,0.48645893,0.01192461,0.490235158
76,Want to revert back to preupdate Well you all REALLY screwed it up with that update Was pretty good app but now cant have list of channels on side to switch back and forth to Who the hells brilliant idea was that IDIOT Please fix it back dumba**es No option to change it,0.015683074,0.016032027,0.952951107,0.015333792
77,This sucks Difficult to sign in navigate and not user friendly Were better of using email and text Whats the point of Slack Its just another messaging app and an incredible waste of time,0.013926699,0.013850107,0.015048841,0.957174353
78,Horrible UX Impossible to send pictures and always fails to load them Finding and creating chats is so difficult Why not make it like any other IM app and stop hiding all the different chats you have going on,0.013127375,0.596049114,0.377626787,0.013196723
79,Currently app repeatedly logs me out with invalid authentication every time I use it Im able to get maybe 3 messages before the error occurs Until fixed browser is necessary,0.014620588,0.515754612,0.014417689,0.455207111
80,Its functional but the lack of options to organize the sidebar makes it hard to use Also occasionally not getting notifications I would expect,0.020493216,0.939796588,0.019706539,0.020003657
81,My biggest issue is the difference between desktop and mobile  You can see the react emojis However you cant see who reacted to your comment unless youre on the desktop version,0.018815357,0.768295441,0.193927154,0.018962049
82,Unbelievablely dumb decision to have gif search be random and you have to shuffle it Garbage Wouldnt work when on VPN without telling the user why had to switch VPN location in order to use it,0.015279606,0.015436453,0.953278175,0.016005765
83,Awful Cannot have a conversation with anyone because the app constantly loses connection Just continually says lost connection reconnecting,0.938050348,0.019877352,0.021098952,0.020973348
84,I do not like the drafts feature It is trash and needs to go Save 1 draft only and do it in the buffer you type into,0.027399094,0.027079424,0.025717432,0.91980405
85,Everyone in here that has a pixel 6 is having the same issue You are completely unable to use the calls functionality Ive reached out to the email address but do you have any kind of work around or,0.018020965,0.018306665,0.017950762,0.945721607
86,App keeps logging me out and jittering and the new ui sucks compared the old one They should just distribute the apk from 2020 and stop wasting their time with pointless and ugly updates,0.014339974,0.014901358,0.955322195,0.015436473
87,This is hands down the worst chat tool Ive ever used Slack is a great name for it though cause it never works it just slacks off and decides its not responding Absolutely garbage software Aim was prehistoric and bad to use but it actually let me send messages How is it that 25 years later slack cant even send a message without freezing and crashing This is embarrassing,0.975942929,0.007948214,0.0079776,0.008131257
88,The app doesnt notify me about new messages I only get to see them once Im emailed about it but thats about 3 days later,0.023727884,0.024045359,0.92818719,0.024039567
89,Times me out constantly I have to log into my work computer to access on my phone at least every 15 minutes Ridiculous,0.023078306,0.023458457,0.024066349,0.929396889
90,This app was working great but since today I was getting absolutely no messages and no I reinstalled slack and now I cant back in,0.919127984,0.027063153,0.027365452,0.026443412
91,It will not continue to run on an Android you have to reconfigure every time you want to use it,0.036892329,0.03683634,0.037533247,0.888738085
92,An annoyance I am forced to live with now and absolutely irritating to update the app on a desktop Extremely annoying and not user friendly,0.255308739,0.395791871,0.328194593,0.020704798
93,Any resemblance to one nonstatic static nonliving and or living is coincidental Discernment and discretion may be advised,0.25,0.25,0.25,0.25
94,This app never updates my messages for urgent matters And when I go to close a conversation it just stays in limbo amd wont go away,0.927904637,0.023618164,0.024629762,0.023847438
95,Slack has gone from the best app Ive ever used to the WORST app Ive ever used Sadly after 6 years we have to retire using it and use something that is like basically simply WORKING We cannot even freaking TYPE anymore without Slack closing Horrific please REVERT BACK to 2016 and FIRE THE NEW DEVELOPERS,0.299705889,0.009645647,0.009758762,0.680889702
96,I cannot change my profile picture for the life of me once this issue is fixed I will update my stars,0.028383269,0.91350598,0.028736208,0.029374543
97,It was nice until it logged me out for some authorization error and erased all my saved workspaces for no reason,0.031722669,0.466169126,0.031848731,0.470259474
98,Not a great app Hard to use and very slow sometimes Discord is a far better choice,0.375961953,0.0279323,0.569183613,0.026922134
99,My Apple friends dont have issues but those of us with Androids at work have big issues New messages dont pop up  I have to search for the channel and see the new messages The channel itself disappears from the list I work at a school and we only use slack Fearful i might miss an emergency with a student bc of these issues I really hope they fix them Looking forward to a good update,0.008210546,0.51581773,0.467835185,0.008136539
100,If you try to use the browser in the phone the came with an excuse that they having problem to log you This is to make you download the app Update: They told me they dont support mobile browser Again The correct answer would have been: We restrict browser on mobile devices,0.011730532,0.011847477,0.012127971,0.96429402
101,Seems to work great and is easy to use once your set up but I had some problems signing in This problem happened with my coworker as well I gave it my email and it says to open my email and click the magic link After I click the magic link (confirmation button) from my computer where it is a lot easier to navigate and use my email it opens up the app on my computer rather than signing in on my phone I had to sign in manually inputting the url of my workplace first,0.007122204,0.006965416,0.007063634,0.978848746
102,Works great on desktop but Im unable to signin on the mobile app Each login attempt resolves with an error Something went wrong Please try again Ive uninstalled cleared local data and changed from beta to release Ive not able to login using the magic link,0.009297951,0.009370526,0.009232931,0.972098592
103,They dropped Android 7 support What a terrible idea Any reasons for the essentially JS app Take a look at Outlook policy or any other communication app They still work without any problems,0.017335527,0.017030261,0.017107669,0.948526543
104,Ive been trying to download this app to my softwarecurrent Samsung Galaxy Note20 for 6 days and it never gets past pending Ive tried turning my phone on/off cycling my VPN turning off my VPN trying wifi trying cellular and trying to clear Google Play cache No issues downloading other apps this morning,0.009050434,0.009188877,0.009080011,0.972680678
105,In all my years using applications Ive never used an app that is as terrible and poorly developed as slack Its fine once you get into a page but if you havent signed in in a while you might as well never try again Absolute trash,0.158928377,0.014193035,0.014271339,0.812607249
106,I would love to use this app again But for some reason the app wont even install  the first time Ive ever had an app from the Play Store that wouldnt install in the years of my Android use Sent in feedback for review from Slack but its definitely not a good sign,0.011094221,0.01109384,0.22937289,0.748439049
107,Update: app seems to be working again I have had difficulty editing channel names as well as I keep seeing a past memeber that I removed from our workspace in my app,0.575592206,0.019607334,0.384321632,0.020478827
108,The app has always had minor issues in the past messages not showing gifs never work right Some polls wouldnt work Posting videos seem to have random issues But it still seemed to work for what we use it for It is slowly getting better UNTIL NOW I CANNOT GET IT TO WORK SUDDENLY DUE TO NO SUPPORT OF OLDER ANDROID VERSIONS The tech support seems to be less than helpful I hope it will work again and get back to its constant improvement track like it was going,0.007511734,0.007679857,0.007782647,0.977025762
109,Get rid of the huddles option Its annoying and useless We use Zoom and have no need for huddles The option to hit one button in a channel and instantly invite everyone to a damn meeting is really annoying The area they put this in and without a second agreement before launching it causes a lot of issues Its at the top of my phone and easy to click when trying to swipe down from the top There should be at least a Yes or no prompt before starting this,0.008018516,0.976650609,0.007691387,0.007639487
110,Slack randomly stopped working because of my Android system not being updated enough ie needing to buy a new phone to use Slack However Id still get notifications about messages just not be able to write back on my phone The app still worked HOW RIDICULOUS Worst app ever to literally say buy a new phone to keep using Um nope You are a worthless company if you make everyone buy a new phone to use Sorry but just no Fix this and I will probably come back dont and Ill tell everyone how terrible you are,0.005523615,0.005558235,0.293363318,0.695554832
111,Outages are more frequent than they should be Also a notification for every single message no matter how fast or how many are coming from one channel or group can be very annoying I wish there was a setting for max notifications from one channel in ten minutes,0.34163147,0.622179118,0.017579593,0.018609819
112,Its okay I have been getting ongoing issues with notifications not being pushed when they should be I am a manager of 2 Spas and need to be ready to answer anyone via slack But when its not letting me know I have a slack I constantly have to be on it Another on going issue Ive had is when I go to read an unopen message and it just doesnt show me it Just past conversations Its very annoying when your job is to be there for your employees but the app you use for communication has bugs,0.00824419,0.008312594,0.264934092,0.718509124
113,Most recent string of updates make Android app unusable Threads DMs etc do not update or show an update dot but not have new content Really sad when on a business plan you cannoy trust the app to properly function for business critical functions Update: would give zero stars if possible App continues to be extremely buggy will not load message properly and is often nonfunctional Its bad enough that I have had work team/Dept stop using and working to stop using company wide,0.005720497,0.00583428,0.519072414,0.469372809
114,They messed up with the new experience Imagine you talk to someone go to a different app and when you get back you have to scroll/search through hundreds of different channels / dms just to get where you were It was simple before this why are you complicating experience,0.015278597,0.118177998,0.851325211,0.015218194
115,I love slack and use it for work I am not happy with you forcing me to love your new collab setrings that render the app unusable until I provide you an email address and check my inbox I am working on a deadline critical project and now have to go back tp my desktop to complete this What about a reminder for later Are we partnering here That is fine that you need to authenticate me and my email what about allowing me to pick a time that works to do that and not take away function,0.007917311,0.007908767,0.598643643,0.385530279
116,Line Spacing is horrible A couple months ago they added what feels like 1in of space between lines with no option to revert Less than half of the text usually displayed can now be displayed on the screen Let us adjust this,0.013330469,0.960489958,0.013046377,0.013133197
117,I know you think its cute these silly update notifications that contain no useful information but maybe you could consider taking release notes seriously and actually explaining what bugs are being fixed what features are being updated and how the changes will affect us and not treating this like a creative writing exercise in avoiding telling users what youre doing and why,0.010179446,0.01051824,0.01080534,0.968496974
118,My main issue is having 13 unnecessary Slack sounds auto downloaded into my music library every time I use it Even when I delete them they keep regenerating Ive tried to adjust multiple settings to keep them from downloading permanently to no avail,0.012756368,0.012426409,0.01231749,0.962499733
119,Cannot just open in the brower Both options link to the app store That is useless and annoying,0.030211563,0.031580677,0.029185654,0.909022106
120,Update required but doesnt seem to be working just keeps looping back to Update required to keep using app Reinstalled same thing happens Opposite of productive especially since Im in the middle of doing things using Slack,0.010906859,0.011154261,0.966875034,0.011063846
121,Can you please remove the notification from my phone after I already see it on my computer Sometimes it finally goes away if I just turn the phone screen on Sometimes I have to actually open the app or clear it from the notifications bar,0.561620999,0.169173054,0.014984249,0.254221698
122,Unable to use slack since last update Message popup within app indicates that an update is needed but when you click the message there are no updates available Popup message cannot be dismissed,0.017863279,0.016062551,0.949848921,0.016225249
123,No previous deprecation notices no new version on google play but this version is suddenly not supported Missing meetings right now figuring out what to do Awful,0.016149694,0.016132121,0.9506191,0.017099085
124,had difficulty speaking with members during midnight hours seemed as though there was some default do not disturb setting and communication was hindered,0.920160656,0.02671849,0.026265061,0.026855793
125,I very rarely leave reviews That said this app is unusable aside from notifications I downgraded to its 2019 version Its been my experience that whenever I open any channel or DM and begin typing I have around 10 seconds to write a sentence or the app will crash This has been consistent throughout most of the year but this current iteration crashes even faster than any other version Ive used,0.009150308,0.009232652,0.972224569,0.009392471
126,The only issue I have is with alerts Itd be nice to have the option to have a separate alert for every channel/thread update Currently after tapping on the mobile alert I have to check the channel listing to see what channels have new messages Maybe there could be a delayed notification when app is no longer active that says you still have unread updates This could be disabled in settings of course,0.009060687,0.008566369,0.973631994,0.008740949
